Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
"East Toronto, Broadview North (Old East York)",Park,Convenience Store,Intersection,Farmers Market,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Fast Food Restaurant
"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",Pizza Place,Liquor Store,Pharmacy,Pet Store,Café,Coffee Shop,Beer Store,Shopping Plaza,Electronics Store,Ethiopian Restaurant
"Fairview, Henry Farm, Oriole",Clothing Store,Fast Food Restaurant,Coffee Shop,Restaurant,Baseball Field,Bank,Japanese Restaurant,Chocolate Shop,Mobile Phone Shop,Juice Bar
"First Canadian Place, Underground city",Coffee Shop,Hotel,Café,Restaurant,Gym,Steakhouse,Salad Place,Asian Restaurant,Seafood Restaurant,Japanese Restaurant
"Forest Hill North & West, Forest Hill Road Park",Construction & Landscaping,Bus Line,Trail,Business Service,Park,Fish & Chips Shop,Field,Fast Food Restaurant,Dumpling Restaurant,Fish Market
"Garden District, Ryerson",Coffee Shop,Clothing Store,Movie Theater,Hotel,Café,Japanese Restaurant,Cosmetics Shop,Middle Eastern Restaurant,Theater,Diner
Glencairn,Pizza Place,Italian Restaurant,Grocery Store,Gas Station,Mediterranean Restaurant,Ice Cream Shop,Fast Food Restaurant,Asian Restaurant,Bakery,Latin American Restaurant
"Golden Mile, Clairlea, Oakridge",Bakery,Bus Line,Soccer Field,Intersection,Coffee Shop,Park,Farmers Market,Electronics Store,Ethiopian Restaurant,Event Space
"Guildwood, Morningside, West Hill",Pizza Place,Electronics Store,Fast Food Restaurant,Restaurant,Bank,Salon / Barbershop,Liquor Store,Breakfast Spot,Discount Store,Sports Bar
"Harbourfront East, Union Station, Toronto Islands",Harbor / Marina,Music Venue,Café,Park,Yoga Studio,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Dumpling Restaurant
"High Park, The Junction South",Park,Residential Building (Apartment / Condo),Yoga Studio,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Doner Restaurant
Hillcrest Village,Park,Residential Building (Apartment / Condo),Bus Stop,Yoga Studio,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market
Humber Summit,Rental Car Location,Furniture / Home Store,Auto Garage,Yoga Studio,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market
"Humberlea, Emery",Latin American Restaurant,Café,Coffee Shop,Grocery Store,Discount Store,Nightclub,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant
Humewood-Cedarvale,Playground,Park,Field,Grocery Store,Trail,Deli / Bodega,Bridal Shop,Hockey Arena,Cupcake Shop,Dumpling Restaurant
"India Bazaar, The Beaches West",Restaurant,Sandwich Place,Fast Food Restaurant,Park,Brewery,Sushi Restaurant,Liquor Store,Steakhouse,Pub,Food & Drink Shop
"Islington Avenue, Humber Valley Village",Pharmacy,Park,Grocery Store,Skating Rink,Bank,Home Service,Field,Fish & Chips Shop,Fast Food Restaurant,Farmers Market
"Kennedy Park, Ionview, East Birchmount Park",Coffee Shop,Bank,Department Store,Light Rail Station,Discount Store,Grocery Store,Sandwich Place,Bus Station,Pharmacy,Metro Station
"Kensington Market, Chinatown, Grange Park",Café,Vegetarian / Vegan Restaurant,Mexican Restaurant,Coffee Shop,Grocery Store,Caribbean Restaurant,Vietnamese Restaurant,Gaming Cafe,Farmers Market,Cheese Shop
"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",Pizza Place,Chinese Restaurant,Mobile Phone Shop,Supermarket,Beer Store,Sandwich Place,Gas Station,Bank,Pharmacy,American Restaurant
"Lawrence Manor, Lawrence Heights",Clothing Store,Coffee Shop,Restaurant,Women's Store,Toy / Game Store,Juice Bar,Sushi Restaurant,Furniture / Home Store,Bakery,Food Court
Lawrence Park,Photography Studio,Park,Yoga Studio,Falafel Restaurant,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Farmers Market
Leaside,Sporting Goods Shop,Department Store,Bank,Sports Bar,Electronics Store,Restaurant,Sandwich Place,Indian Restaurant,Sushi Restaurant,Rental Car Location
"Little Portugal, Trinity",Bar,Restaurant,Bakery,Coffee Shop,Vegetarian / Vegan Restaurant,Cocktail Bar,Asian Restaurant,Yoga Studio,Boutique,Brewery
"Milliken, Agincourt North, Steeles East, L'Amoreaux East",Pharmacy,Intersection,Fast Food Restaurant,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market,Yoga Studio
"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",Burrito Place,Yoga Studio,Gym / Fitness Center,Burger Joint,Middle Eastern Restaurant,Sushi Restaurant,Liquor Store,Buffet,Gym,Thai Restaurant
"Moore Park, Summerhill East",Park,Playground,Thai Restaurant,Trail,Grocery Store,Gym,Tennis Court,Farmers Market,Falafel Restaurant,Event Space
"North Park, Maple Leaf Park, Upwood Park",Trail,Basketball Court,Bakery,Yoga Studio,Farmers Market,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Fast Food Restaurant
"North Toronto West, Lawrence Park",Playground,Garden,Park,Gym Pool,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Doner Restaurant
"Northwest, West Humber - Clairville",Swiss Restaurant,Hotel,Mediterranean Restaurant,Coffee Shop,Rental Car Location,Farmers Market,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant
"Northwood Park, York University",Sandwich Place,Sports Bar,Middle Eastern Restaurant,Massage Studio,Farmers Market,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant
"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",Baseball Field,Home Service,Park,Yoga Studio,Farmers Market,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Fast Food Restaurant
"Parkdale, Roncesvalles",Eastern European Restaurant,Coffee Shop,Sushi Restaurant,Grocery Store,Breakfast Spot,Bookstore,Food & Drink Shop,Gift Shop,Café,Bakery
"Parkview Hill, Woodbine Gardens",Pizza Place,Pharmacy,Gastropub,Gym / Fitness Center,Intersection,Bank,Breakfast Spot,Flea Market,Fish & Chips Shop,Field
Parkwoods,Food & Drink Shop,Pool,Park,Falafel Restaurant,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Yoga Studio
"Queen's Park, Ontario Provincial Government",Sushi Restaurant,Coffee Shop,Beer Bar,Bubble Tea Shop,Park,Burrito Place,Fast Food Restaurant,Mexican Restaurant,Café,Ethiopian Restaurant
"Regent Park, Harbourfront",Coffee Shop,Breakfast Spot,Yoga Studio,Theater,Pub,Distribution Center,Restaurant,Electronics Store,Event Space,Food Truck
"Richmond, Adelaide, King",Coffee Shop,Café,Hotel,Gym,Restaurant,Steakhouse,Thai Restaurant,Asian Restaurant,Sushi Restaurant,American Restaurant
Rosedale,Playground,Park,Candy Store,Grocery Store,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Donut Shop
Roselawn,IT Services,Spa,Food Court,Flower Shop,Flea Market,Fish Market,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market
"Runnymede, Swansea",Café,Coffee Shop,Pizza Place,Sushi Restaurant,Italian Restaurant,Restaurant,Pub,Falafel Restaurant,Bank,Yoga Studio
"Runnymede, The Junction North",Brewery,Park,Athletics & Sports,Furniture / Home Store,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market,Fast Food Restaurant
Scarborough Village,Park,Spa,Grocery Store,Yoga Studio,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market
"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",Grocery Store,Pizza Place,Beer Store,Sandwich Place,Fast Food Restaurant,Pharmacy,Caribbean Restaurant,Fried Chicken Joint,Hardware Store,Eastern European Restaurant
St. James Town,Coffee Shop,Café,Seafood Restaurant,Italian Restaurant,American Restaurant,Bakery,Gastropub,Cocktail Bar,Hotel,Restaurant
"St. James Town, Cabbagetown",Café,Bakery,Coffee Shop,Pizza Place,Restaurant,Chinese Restaurant,Italian Restaurant,Library,Diner,Beer Store
"Steeles West, L'Amoreaux West",Coffee Shop,Pizza Place,Other Great Outdoors,Fast Food Restaurant,Supermarket,Sandwich Place,Chinese Restaurant,Grocery Store,Bank,Pharmacy
Stn A PO Boxes,Coffee Shop,Restaurant,Gym,Hotel,Sporting Goods Shop,Café,Deli / Bodega,Italian Restaurant,Japanese Restaurant,Park
Studio District,Coworking Space,Garden Center,Coffee Shop,Gym,Diner,Park,Baseball Field,Fast Food Restaurant,Farmers Market,Falafel Restaurant
"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",Light Rail Station,Coffee Shop,Supermarket,Liquor Store,Yoga Studio,Farmers Market,Ethiopian Restaurant,Event Space,Falafel Restaurant,Fast Food Restaurant
"The Annex, North Midtown, Yorkville",Café,Sandwich Place,Mexican Restaurant,Italian Restaurant,Liquor Store,Donut Shop,Coffee Shop,French Restaurant,Middle Eastern Restaurant,Pub
The Beaches,Pub,Bakery,Cheese Shop,Gastropub,Coffee Shop,Health Food Store,Trail,Yoga Studio,Ethiopian Restaurant,Eastern European Restaurant
"The Danforth West, Riverdale",Greek Restaurant,Café,Coffee Shop,Italian Restaurant,Restaurant,Ice Cream Shop,Spa,Juice Bar,Fruit & Vegetable Store,Liquor Store
"The Kingsway, Montgomery Road, Old Mill North",Bank,Sushi Restaurant,Breakfast Spot,Bar,Boutique,Bakery,Restaurant,Coffee Shop,Liquor Store,Pub
Thorncliffe Park,Indian Restaurant,Afghan Restaurant,Coffee Shop,Sandwich Place,Turkish Restaurant,Yoga Studio,Grocery Store,Pizza Place,Restaurant,Fast Food Restaurant
"Toronto Dominion Centre, Design Exchange",Coffee Shop,Hotel,Café,Seafood Restaurant,Salad Place,American Restaurant,Japanese Restaurant,Asian Restaurant,Italian Restaurant,Deli / Bodega
"University of Toronto, Harbord",Café,Bookstore,Bakery,Japanese Restaurant,Yoga Studio,College Gym,French Restaurant,Restaurant,Beer Store,Beer Bar
Victoria Village,Pizza Place,Park,Hockey Arena,Portuguese Restaurant,Intersection,Coffee Shop,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant
"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",Pizza Place,Sandwich Place,Tea Room,Construction & Landscaping,Chinese Restaurant,Cuban Restaurant,Flea Market,Fish Market,Fish & Chips Shop,Field
Westmount,Pizza Place,Supermarket,Sandwich Place,Flea Market,Coffee Shop,Discount Store,Chinese Restaurant,Ice Cream Shop,Middle Eastern Restaurant,Field
Weston,Park,Yoga Studio,Donut Shop,Flower Shop,Flea Market,Fish Market,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market
"Wexford, Maryvale",Auto Garage,Yoga Studio,Farmers Market,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Fast Food Restaurant,Donut Shop
"Willowdale, Newtonbrook",Playground,Business Service,Piano Bar,Gym,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market
"Willowdale, Willowdale East",Coffee Shop,Pizza Place,Ramen Restaurant,Restaurant,Sandwich Place,Fast Food Restaurant,Sushi Restaurant,Bank,Middle Eastern Restaurant,Japanese Restaurant
"Willowdale, Willowdale West",Baby Store,Coffee Shop,Bookstore,Park,Yoga Studio,Fast Food Restaurant,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market
Woburn,Korean BBQ Restaurant,Soccer Field,Yoga Studio,Farmers Market,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Fast Food Restaurant
Woodbine Heights,Convenience Store,Video Store,Beer Store,Spa,Flower Shop,Flea Market,Fish Market,Fish & Chips Shop,Field,Food & Drink Shop
York Mills West,Convenience Store,Park,Donut Shop,Flower Shop,Flea Market,Fish Market,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market
"York Mills, Silver Hills",Pool,Yoga Studio,Donut Shop,Flower Shop,Flea Market,Fish Market,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market
