Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Rosedale,Playground,Candy Store,Park,Grocery Store,Dumpling Restaurant,Fish Market,Fish & Chips Shop,Fast Food Restaurant,Farmers Market,Falafel Restaurant
Roselawn,Spa,Yoga Studio,Eastern European Restaurant,Food & Drink Shop,Flower Shop,Fish Market,Fish & Chips Shop,Fast Food Restaurant,Farmers Market,Falafel Restaurant
"Runnymede, Swansea",Café,Pizza Place,Coffee Shop,Bank,Sushi Restaurant,Electronics Store,Pub,Falafel Restaurant,Italian Restaurant,Restaurant
St. James Town,Café,Coffee Shop,Seafood Restaurant,Italian Restaurant,Gastropub,Bakery,Cocktail Bar,Hotel,American Restaurant,Lingerie Store
"St. James Town, Cabbagetown",Café,Restaurant,Coffee Shop,Pet Store,Pizza Place,Italian Restaurant,Bakery,Playground,Plaza,Market
Stn A PO Boxes,Coffee Shop,Restaurant,Hotel,Gym,Café,Sporting Goods Shop,Deli / Bodega,Italian Restaurant,Japanese Restaurant,Hotel Bar
Studio District,Baseball Field,Coffee Shop,Coworking Space,Park,Diner,Gym,Garden Center,Flower Shop,Fish Market,Fish & Chips Shop
"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",Coffee Shop,Light Rail Station,Liquor Store,Supermarket,Electronics Store,Food & Drink Shop,Flower Shop,Fish Market,Fish & Chips Shop,Fast Food Restaurant
"The Annex, North Midtown, Yorkville",Café,Coffee Shop,Sandwich Place,Park,Furniture / Home Store,Pub,Italian Restaurant,French Restaurant,Donut Shop,Indian Restaurant
The Beaches,Pub,Health Food Store,Trail,Bakery,Gastropub,Yoga Studio,Dumpling Restaurant,Fish Market,Fish & Chips Shop,Fast Food Restaurant
"The Danforth West, Riverdale",Greek Restaurant,Ice Cream Shop,Restaurant,Coffee Shop,Italian Restaurant,Café,Bubble Tea Shop,Juice Bar,Fruit & Vegetable Store,Brewery
"Toronto Dominion Centre, Design Exchange",Coffee Shop,Hotel,Café,American Restaurant,Japanese Restaurant,Seafood Restaurant,Salad Place,Restaurant,Sporting Goods Shop,Beer Bar
"University of Toronto, Harbord",Café,Bookstore,Japanese Restaurant,Bakery,Yoga Studio,Beer Bar,Noodle House,Comfort Food Restaurant,Pub,College Gym
